x,y,z,elevation,waypoint_id,timestamp,speed,action,description
139.7454,35.6586,100,100,1,2024-01-01T10:00:00Z,0,takeoff,離陸地点（東京タワー南側）
139.7454,35.6586,120,120,2,2024-01-01T10:00:30Z,3,move,上昇開始
139.7454,35.6586,150,150,3,2024-01-01T10:01:00Z,2,move,巡航高度到達
139.7456,35.6588,150,150,4,2024-01-01T10:01:30Z,2,move,北東方向移動
139.7458,35.6590,150,150,5,2024-01-01T10:02:00Z,2,move,北東方向移動
139.7460,35.6592,150,150,6,2024-01-01T10:02:30Z,0,hover,北東角でホバリング・撮影
139.7462,35.6590,150,150,7,2024-01-01T10:03:00Z,2,move,北西方向移動
139.7464,35.6588,150,150,8,2024-01-01T10:03:30Z,2,move,北西方向移動
139.7466,35.6586,150,150,9,2024-01-01T10:04:00Z,0,hover,北西角でホバリング・撮影
139.7464,35.6584,150,150,10,2024-01-01T10:04:30Z,2,move,南西方向移動
139.7462,35.6582,150,150,11,2024-01-01T10:05:00Z,2,move,南西方向移動
139.7460,35.6580,150,150,12,2024-01-01T10:05:30Z,0,hover,南西角でホバリング・撮影
139.7458,35.6582,150,150,13,2024-01-01T10:06:00Z,2,move,南東方向移動
139.7456,35.6584,150,150,14,2024-01-01T10:06:30Z,2,move,南東方向移動
139.7454,35.6586,150,150,15,2024-01-01T10:07:00Z,0,hover,南東角でホバリング・撮影
139.7452,35.6588,150,150,16,2024-01-01T10:07:30Z,2,move,内側旋回開始
139.7450,35.6590,150,150,17,2024-01-01T10:08:00Z,2,move,内側旋回
139.7448,35.6592,150,150,18,2024-01-01T10:08:30Z,0,hover,内側北東角でホバリング・撮影
139.7446,35.6590,150,150,19,2024-01-01T10:09:00Z,2,move,内側旋回
139.7444,35.6588,150,150,20,2024-01-01T10:09:30Z,2,move,内側旋回
139.7442,35.6586,150,150,21,2024-01-01T10:10:00Z,0,hover,内側南西角でホバリング・撮影
139.7444,35.6584,150,150,22,2024-01-01T10:10:30Z,2,move,内側旋回
139.7446,35.6582,150,150,23,2024-01-01T10:11:00Z,2,move,内側旋回
139.7448,35.6580,150,150,24,2024-01-01T10:11:30Z,0,hover,内側南東角でホバリング・撮影
139.7450,35.6582,150,150,25,2024-01-01T10:12:00Z,2,move,中心部へ移動
139.7452,35.6584,150,150,26,2024-01-01T10:12:30Z,2,move,中心部へ移動
139.7454,35.6586,150,150,27,2024-01-01T10:13:00Z,0,hover,東京タワー中心部でホバリング・詳細撮影
139.7454,35.6586,120,120,28,2024-01-01T10:13:30Z,2,move,降下開始
139.7454,35.6586,100,100,29,2024-01-01T10:14:00Z,0,land,着陸地点（Homeポジション） 
